,Ano,TituloLivro,GeneroLivro,NomeAutor,GeneroAutor,FaixaEtariaAutor,PaisAutor,NomeEditora,SedeEditora,PaisEdicao,Vencedor,Finalista,Semifinalista
5537,2022,"ALCATRAZ, A FUGA QUE O MUNDO NÃO (RE)CONHECEU ",Romance,A. J. Lapate,Feminino,de 60 a 70 anos,Brasil,Viseu,Brasil,Brasil,Não,Não,Não
5538,2022,Aldeia mordaz,Romance,Amauri De Souza,Masculino,de 50 a 60 anos,Brasil,Telucazu,Brasil,Brasil,Não,Não,Não
5539,2022,Algo Antigo,Poesia,Arnaldo Antunes,Masculino,de 60 a 70 anos,Brasil,Companhia das Letras,Brasil,Brasil,Não,Não,Não
5540,2022,Alguém que dorme na plateia vazia,Poesia,Annita Costa Malufe,Feminino,de 30 a 40 anos,Brasil,7Letras,Brasil,Brasil,Não,Não,Não
5541,2022,Alguma certeza,Poesia,Nathan Sousa,Masculino,de 40 a 50 anos,Brasil,Penalux,Brasil,Brasil,Não,Não,Não
5542,2022,Alguns dias violentos,Poesia,Ismar Tirelli Neto,Masculino,de 30 a 40 anos,Brasil,Macondo,Brasil,Brasil,Não,Não,Sim
5543,2022,Alice Deve Estar Viva,Romance,Werner Schunemann,Masculino,de 60 a 70 anos,Brasil,Almedina,Portugal,Brasil,Não,Não,Não
5544,2022,Alimária,Poesia,Zeno Queiroz,Masculino,de 20 a 30 anos,Brasil,Urutau,Brasil,Brasil,Não,Não,Não
5545,2022,ALMA,Poesia,Marco Antonio Rodrigues De Oliveira,Masculino,de 70 a 80 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5546,2022,Alma das flores,Poesia,Nora Prado,Feminino,de 50 a 60 anos,Brasil,Bestiário,Brasil,Brasil,Não,Não,Não
5547,2022,"Alma, madeira oca",Poesia,Natan Barreto,Masculino,de 50 a 60 anos,Reino Unido,Editus,Brasil,Brasil,Não,Não,Não
